"Jday","y1","y2","Tsoil","Tair","SWC","PAR","WS","PA","rH","LE","H","SR"
228.3958333,0.807811877471194,-0.589440387669919,22.88,27,27,1615.914352,1.70776,102.177,69.097,405,127,NA
228.4166667,0.795357417220382,-0.606140725304383,23,27.2,27,1242.062825,1.45045,102.179,67.546,365,97.8,NA
228.4375,0.782557822291485,-0.622577910602687,23.1,27.5,26.9,1424.609124,1.64918,102.182,66.493,399,94.6,3.81
228.4583333,0.769418588901487,-0.638744890431888,23.2,27.7,26.8,1830.440507,1.59201,102.178,64.195,453,106,NA
228.4791667,0.755945354154665,-0.654634723744455,23.3,28.1,26.8,1744.158295,1.40926,102.169,63.71,462.5,139.65,4.17
228.5,0.742144094916929,-0.670240361646426,23.39,28.6,26.7,1698.638906,1.30922,102.154,62.986,484,158,5.25
228.5208333,0.728020737207831,-0.685555108065987,23.49,29.4,26.6,2317.764486,1.31461,102.139,60.405,514,200,4.52
228.5416667,0.713581340658354,-0.700572387597617,23.6,29.6,26.6,1761.748268,1.34508,102.124,57.379,416,115,5.02
228.5625,0.698832310733754,-0.715285538421212,23.71,29.9,26.5,1374.267066,1.05372,102.107,56.122,331,93.8,5.58
228.5833333,0.683779980115166,-0.729688247674103,23.81,29.9,26.4,1895.316678,1.20832,102.076,56.849,386,84.9,NA
228.6041667,0.668430807297555,-0.743774331269599,23.9,30.2,26.4,1771.844323,1.3226,102.041,55.345,313,69.6,5.75
228.625,0.652791601332312,-0.757537540475715,23.97,30.4,26.3,1283.585858,1.24202,102.032,53.984,322,41.1,5.34
228.6458333,0.636869076833178,-0.770971970290526,24.03,30.7,26.3,992.61814,0.735926,102.011,54.659,208,38.9,5.29
228.6666667,0.620670065938811,-0.784071852094891,24.09,29.7,26.3,1035.799811,0.430124,102.011,60.904,115,-0.336,NA
228.6875,0.604201754697538,-0.796831374646114,24.12,29.5,26.3,651.0619722,0.816713,101.996,65.479,114,-0.474,5.68
228.7083333,0.587471213435282,-0.809245063861917,24.15,28.1,26.4,366.154892,0.754303,101.973,73.806,27.9,-3.5958,NA
228.7291667,0.570485621255038,-0.821307589117045,24.18,26.8,26.4,231.9696006,1.2578,101.951,78.172,70.95,-21.2,5.17
228.75,0.553252513140708,-0.83301359935087,24.2,25.7,26.4,108.0931031,1.89948,101.959,79.343,27.95,-16.3,5.23
228.7708333,0.535779287520921,-0.844358072776932,24.2,24.8,26.4,5.643890798,1.76003,101.982,83.342,0.4,-2.6688,NA
228.7916667,0.51807344242877,-0.855336137579843,24.19,24.2,26.4,-18.18607537,1.34209,101.988,85.818,-29.85,-4.9393,4.36
